municipios,Total,Abacate,Algodão arbóreo (em caroço),Açaí,Azeitona,Banana (cacho),Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Caqui,Castanha de caju,Chá da índia (folha verde),Coco da baía*,Dendê (cacho de coco),Erva mate (folha verde),Figo,Goiaba,Guaraná (semente),Laranja,Limão,Maçã,Mamão,Manga,Maracujá,Marmelo,Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta do reino,Sisal ou agave (fibra),Tangerina,Tungue (fruto seco),Urucum (semente),Uva
Dores do Turvo,50,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doresópolis,260,0,0,0,0,0,0,0,0,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douradoquara,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durandé,5225,0,0,0,0,0,0,0,0,5225,5225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elói Mendes,12616,33,0,0,0,8,0,0,0,12542,12542,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25
Engenheiro Caldas,42,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,5,1,0,0,7,8,0,0,0,0,0,0,0,2,0,0,0
Engenheiro Navarro,42,0,0,0,0,13,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,8,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0
Entre Folhas,379,1,0,0,0,7,0,0,0,360,360,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Entre Rios de Minas,171,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,2,0,0,0,0,0,0,0,5,0,0,0
Ervália,5203,20,0,0,0,61,0,0,0,5100,5100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,8,0,0,8,0,0,2
Esmeraldas,46,0,0,0,0,10,0,0,0,32,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Espera Feliz,9569,0,0,0,0,68,0,0,0,9500,9500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
