municipios,Total,Abacate,Algodão arbóreo (em caroço),Açaí,Azeitona,Banana (cacho),Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Caqui,Castanha de caju,Chá da índia (folha verde),Coco da baía*,Dendê (cacho de coco),Erva mate (folha verde),Figo,Goiaba,Guaraná (semente),Laranja,Limão,Maçã,Mamão,Manga,Maracujá,Marmelo,Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta do reino,Sisal ou agave (fibra),Tangerina,Tungue (fruto seco),Urucum (semente),Uva
Itacambira,10,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Itacarambi,281,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Itaguara,136,16,0,0,0,20,0,0,0,13,13,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,10,0,0,0,0,0,0,0,70,0,0,0
Itaipé,461,0,0,0,0,50,0,0,0,400,400,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Itajubá,188,2,0,0,0,140,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0
Itamarandiba,634,0,0,0,0,70,0,0,0,539,525,14,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
Itamarati de Minas,135,0,0,0,0,12,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,15,0,0,0,0,33,0,0,0
Itambacuri,407,0,0,0,0,105,0,0,0,252,237,15,0,0,0,0,5,0,0,0,0,0,13,0,0,0,1,0,0,0,6,0,0,0,0,25,0,0,0
Itambé do Mato Dentro,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itamogi,10419,2,0,0,0,17,0,0,0,10400,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itamonte,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Itanhandu,23,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Itanhomi,356,0,0,0,0,18,0,0,0,335,335,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itaobim,211,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0
Itapagipe,328,0,0,0,0,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itapecerica,455,1,0,0,0,3,0,0,0,395,395,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1
Itapeva,16,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Itatiaiuçu,25,3,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Itaú de Minas,9,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itaúna,10,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Itaverava,22,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Itinga,121,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0
Itueta,741,0,0,0,0,30,0,0,1,670,0,670,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,25,0,0,0,0,0
Ituiutaba,1006,0,0,0,0,3,484,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,505,0,0,1,0,0,0,0,6,0,0,0,0,2,0,0,1
Itumirim,368,0,0,0,0,0,0,0,0,359,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Iturama,5257,0,0,0,0,2,5000,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Itutinga,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaboticatubas,202,12,0,0,0,55,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,30,12,0,0,0,0,0,0,0,20,0,0,0
Jacinto,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacuí,3362,100,0,0,0,0,0,0,0,3250,3250,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jacutinga,3221,2,0,0,0,7,0,0,0,3195,3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12
Jaguaraçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaíba,11090,30,0,0,0,7550,0,0,0,10,0,10,0,0,0,0,8,0,0,0,32,0,66,1850,0,260,1000,55,0,0,0,0,0,0,0,130,0,4,95
Jampruca,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Janaúba,2475,1,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,25,0,0,0,7,0,6,40,0,35,450,3,0,0,0,0,0,0,0,4,0,0,4
Januária,38,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Japaraíba,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japonvar,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeceaba,75,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0
Jenipapo de Minas,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jequeri,3612,0,0,0,0,12,0,0,0,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jequitaí,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jequitibá,37,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,7,6,0,0,0,0,0,0,0,1,0,0,1
Jequitinhonha,509,0,0,0,0,402,0,0,0,60,60,0,0,0,0,0,18,0,0,0,0,0,7,0,0,2,8,3,0,0,0,0,0,0,0,1,0,8,0
Jesuânia,1719,0,0,0,0,80,0,0,0,1630,1630,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Joaíma,46,0,0,0,0,13,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Joanésia,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
João Monlevade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Pinheiro,4045,2,0,0,0,30,0,0,0,3000,3000,0,0,0,0,0,300,0,0,0,3,0,75,5,0,10,500,40,0,0,0,0,0,0,0,5,0,0,75
Joaquim Felício,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordânia,36,0,0,0,0,7,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
José Gonçalves de Minas,206,0,0,0,0,13,0,0,0,190,190,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Raydan,121,0,0,0,0,25,0,0,0,95,0,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josenópolis,13,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Nova União,1634,1,0,0,0,1610,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0
Juatuba,80,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Juiz de Fora,45,0,0,0,0,19,0,0,0,6,6,0,0,10,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Juramento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Juruaia,4807,7,0,0,0,0,0,0,0,4800,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenília,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladainha,293,0,0,0,0,80,0,0,0,200,100,100,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Lagamar,410,0,0,0,0,0,0,0,0,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagoa da Prata,8,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagoa dos Patos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagoa Dourada,289,5,0,0,0,2,0,0,0,262,262,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0
Lagoa Formosa,1318,4,0,0,0,175,0,0,0,1050,1050,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,40,0,0,8,0,0,0,0,6,0,0,2
Lagoa Grande,253,0,0,0,0,0,0,0,0,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,5,0,0,0,0,0,0,0,0,0,0,13
Lagoa Santa,36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
Lajinha,8532,0,0,0,0,44,0,0,0,8485,8485,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lambari,4924,0,0,0,0,100,0,0,0,4800,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
Lamim,18,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laranjal,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lassance,924,2,0,0,0,320,0,0,0,100,100,0,0,0,0,0,20,0,0,0,0,0,80,1,1,280,2,2,0,0,0,0,0,0,0,20,0,0,96
Lavras,5069,4,0,0,0,25,0,0,0,5020,5020,0,0,2,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leandro Ferreira,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leme do Prado,78,0,0,0,0,7,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leopoldina,195,0,0,0,0,6,10,0,5,73,70,3,0,12,0,0,4,0,0,0,0,0,3,0,14,0,33,0,0,0,0,35,0,0,0,0,0,0,0
Liberdade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lima Duarte,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Limeira do Oeste,251,0,0,0,0,13,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0
Lontra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luisburgo,6282,113,0,0,0,18,0,0,0,6150,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luislândia,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luminárias,2175,0,0,0,0,0,0,0,0,2175,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luz,188,0,0,0,0,10,0,0,0,130,130,0,0,0,0,0,2,0,0,0,15,0,6,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Machacalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machado,15597,15,0,0,0,30,0,0,0,15506,15506,0,0,5,0,0,0,0,0,0,12,0,5,6,2,0,0,1,0,0,0,0,7,0,0,8,0,0,0
Madre de Deus de Minas,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Malacacheta,1056,0,0,0,0,40,0,0,0,1000,1000,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0
Mamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manga,294,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0
Manhuaçu,22782,130,0,0,0,30,0,0,0,22600,22600,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0,10,4,0,0,0,0,0,0,0,2,0,0,0
Manhumirim,5325,21,0,0,0,4,0,0,0,5300,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantena,1394,0,0,0,0,40,60,0,14,1100,500,600,0,0,0,0,150,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,11,0,0,0,0,0
Maravilhas,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Mar de Espanha,121,0,0,0,0,38,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Maria da Fé,304,0,0,0,50,150,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7
Mariana,44,0,0,0,0,16,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Marilac,225,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mário Campos,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Maripá de Minas,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marliéria,18,0,0,0,0,10,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmelópolis,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,6,0,0,0,0,12,0,0,0,25,0,0,0,0,0,0
Martinho Campos,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Martins Soares,2950,0,0,0,0,0,0,0,0,2950,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mata Verde,631,19,0,0,0,14,2,0,7,573,544,29,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Materlândia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateus Leme,108,10,0,0,0,26,0,0,0,22,22,0,0,0,0,0,2,0,0,0,6,0,2,2,0,0,2,16,0,0,0,0,0,0,0,20,0,0,0
Matias Barbosa,29,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Matias Cardoso,2905,40,0,0,0,1050,0,0,0,52,0,52,0,1,0,0,6,0,0,0,1,0,45,820,0,50,750,20,0,0,0,0,0,0,0,70,0,0,0
Matipó,4305,0,0,0,0,14,0,0,0,4290,4290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mato Verde,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matozinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matutina,251,2,0,0,0,0,0,0,0,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Medeiros,3611,0,0,0,0,3,0,0,0,3280,3280,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,5,0,0,0,0,0,0,0,0,23,0,0,0
Medina,25,0,0,0,0,8,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0
Mendes Pimentel,28,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Mercês,38,1,0,0,0,15,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mesquita,33,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Minas Novas,507,10,0,0,0,27,0,0,0,440,440,0,0,0,0,0,1,0,0,0,0,0,23,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
Minduri,100,4,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
Mirabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miradouro,2942,10,0,0,0,160,0,0,0,2765,2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Miraí,354,0,0,0,0,30,2,0,0,320,320,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miravânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moeda,117,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110,0,0,2
Moema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monjolos,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,3,0,0,0,0,0,0,0,1,0,0,0
Monsenhor Paulo,4091,0,0,0,0,0,0,0,0,3690,3690,0,0,0,0,0,0,0,0,0,1,0,118,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,2
Montalvânia,367,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,30,0,0,0,0,0
Monte Alegre de Minas,2896,30,0,0,0,190,472,0,0,132,132,0,0,0,0,0,1,0,0,0,0,0,1850,51,0,20,40,9,0,0,91,0,0,0,0,10,0,0,0
Monte Azul,29,0,0,0,0,11,0,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monte Belo,5206,0,0,0,0,4,0,0,0,5200,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Monte Carmelo,16971,315,0,0,0,45,350,0,0,16200,16200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,14,30,0,0,1,0,0,0,0,12,0,0,0
Monte Formoso,29,0,0,0,0,2,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Monte Santo de Minas,10824,50,0,0,0,4,0,0,0,10650,10650,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Montes Claros,730,3,0,0,0,500,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,20,0,40,98,4,0,0,14,0,0,0,0,35,0,0,0
Monte Sião,2133,0,0,0,0,5,0,0,0,2100,2100,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9
Montezuma,44,0,0,0,0,3,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morada Nova de Minas,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morro da Garça,77,0,0,0,0,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morro do Pilar,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
Munhoz,16,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muriaé,1128,9,0,0,0,64,120,0,0,900,875,25,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,4
Mutum,7446,20,0,0,0,40,0,0,0,7335,7020,315,0,0,0,0,24,0,0,0,0,0,6,2,0,0,15,0,0,0,0,0,0,1,0,3,0,0,0
Muzambinho,8404,2,0,0,0,2,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacip Raydan,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanuque,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
Naque,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Natalândia,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Natércia,2568,0,0,0,0,48,0,0,0,2520,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nazareno,2125,0,0,0,0,0,0,0,0,2120,2120,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Nepomuceno,10482,50,0,0,0,7,0,0,0,10420,10420,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Ninheira,1908,0,0,0,0,5,0,0,0,1903,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Belém,5146,1,0,0,0,25,0,0,0,5100,4500,600,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,2,0,7,0,0,0
Nova Era,24,0,0,0,0,10,0,0,0,12,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Lima,22,2,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Nova Módica,21,0,0,0,0,8,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Nova Ponte,622,1,0,0,0,8,0,0,0,610,610,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
