municipios,Bovino,Bubalino,Equino,Suíno - matrizes de suínos,Caprino,Ovino,Galináceos - galinhas,Codornas
Oliveira,40987,5328,1600,6238,18,1397,7500,0
Oliveira Fortes,6642,4,233,35,22,0,1500,0
Onça de Pitangui,13946,0,656,2207,0,22,18300,0
Oratórios,4321,0,208,3173,195,7,1400,0
Orizânia,1547,0,208,163,7,0,2300,0
Ouro Branco,3262,0,275,59,0,32,2500,0
Ouro Fino,31356,45,649,287,540,228,48300,0
Ouro Preto,8685,0,1091,154,67,620,7900,105
Ouro Verde de Minas,13293,0,502,63,15,30,3050,0
Padre Carvalho,2192,0,200,100,0,0,2400,0
Padre Paraíso,7854,0,407,101,37,139,4600,0
Paineiras,35980,0,968,352,15,139,6100,0
Pains,33672,2514,1181,208,14,42,16500,0
Pai Pedro,25232,0,1219,467,76,305,7500,0
Paiva,4424,0,130,17,0,20,1400,0
Palma,24510,0,430,27,135,0,1863,0
Palmópolis,23021,16,1177,82,82,230,700,0
Papagaios,29040,185,476,2485,112,129,4500,0
Paracatu,206319,45,5052,2150,379,1101,33565,0
Pará de Minas,42062,1519,1410,21154,29,96,158100,1200
Paraguaçu,12561,122,487,405,15,293,8200,0
Paraisópolis,25337,165,734,205,74,189,5000,0
Paraopeba,31625,379,1972,693,43,913,165900,0
Passabém,4107,181,290,15,0,35,850,0
Passa Quatro,16197,0,938,101,184,133,2200400,6700
Passa Tempo,24734,1143,1258,234,25,76,4500,0
Passa Vinte,10184,0,284,61,48,57,1500,0
Passos,116653,3144,2801,2974,209,1375,13200,0
Patis,13718,0,603,236,0,1,5920,0
Patos de Minas,222223,128,4407,23714,195,749,63000,0
Patrocínio,104502,46,2196,10451,77,239,20500,0
Patrocínio do Muriaé,9384,0,345,81,0,0,1961,0
Paula Cândido,9416,29,355,55,62,19,5500,0
Paulistas,12072,127,320,134,0,0,2300,0
Pavão,37682,377,1752,297,126,320,3850,0
Peçanha,33569,569,1276,233,62,159,14650,0
Pedra Azul,35408,26,1701,167,194,305,4350,0
Pedra Bonita,2415,0,167,112,92,0,3550,0
Pedra do Anta,9401,0,345,116,19,104,4500,0
Pedra do Indaiá,23605,26,421,181,0,12,330000,0
Pedra Dourada,2728,16,71,24,125,19,400,0
Pedralva,13823,122,711,184,48,11,76150,17968
Pedras de Maria da Cruz,46507,0,2351,353,237,247,11625,0
Pedrinópolis,15339,0,319,78,0,168,2300,0
Pedro Leopoldo,12383,112,1858,41,47,218,2000,0
Pedro Teixeira,5805,0,129,27,0,0,1400,0
Pequeri,6850,0,540,7,0,58,170,0
Pequi,16046,718,441,1994,28,2,11250,0
Perdigão,14699,6,388,2192,135,25,2800,0
Perdizes,92476,122,1547,1631,12,202,13250,0
Perdões,20215,8,654,105,23,186,4500,800000
Periquito,8941,0,448,44,82,57,1800,0
Pescador,17012,0,700,43,29,115,1120,0
Piau,9930,0,299,50,381,64,1500,0
Piedade de Caratinga,1744,0,64,108,66,17,3400,0
Piedade de Ponte Nova,5207,0,135,4626,23,0,1150,0
Piedade do Rio Grande,11039,3,315,70,0,28,2100,0
Piedade dos Gerais,12758,0,326,124,27,13,4000,0
Pimenta,29120,997,266,193,0,43,9100,0
Pingo-d'Água,1964,0,74,19,0,0,175,0
Pintópolis,32607,0,1886,506,60,33,14500,0
Piracema,22618,23,789,2140,77,53,4100,0
Pirajuba,4913,5,83,669,0,34,480,0
Piranga,18351,27,1286,6134,94,41,14000,0
Piranguçu,10124,62,776,145,274,199,2300,0
Piranguinho,11782,51,237,59,60,74,3000,0
Pirapetinga,12013,9,265,11,36,8,500,0
Pirapora,6760,0,416,151,69,176,2450,0
Piraúba,6853,80,262,23,16,29,90,0
Pitangui,33174,18,481,120,32,160,6950,0
Piumhi,46475,1749,976,476,76,277,21900,0
Planura,10018,0,105,106,0,1,1000,0
Poço Fundo,28986,65,690,375,35,63,12600,0
Poços de Caldas,15728,0,416,94,345,194,2900,0
Pocrane,34514,0,1347,282,206,313,7300,0
Pompéu,107413,73,1889,527,66,150,19000,0
Ponte Nova,24464,0,1179,9018,126,82,7800,0
Ponto Chique,18127,0,763,132,10,57,1350,0
Ponto dos Volantes,16393,0,773,256,114,133,9300,0
Porteirinha,59643,0,2670,1179,671,1208,30500,0
Porto Firme,10582,0,402,380,92,17,6200,0
Poté,23852,0,1069,450,52,221,10700,0
Pouso Alegre,32761,49,1493,700,171,363,9300,1000
Pouso Alto,22325,0,960,163,20,67,1820400,1191600
Prados,9902,12,354,192,58,16,4500,0
Prata,374558,148,5675,3297,232,1981,119800,0
Pratápolis,16950,103,390,114,104,234,3000,0
Pratinha,23615,520,314,136,10,8,3500,0
Presidente Bernardes,7125,0,532,171,150,12,6200,0
Presidente Juscelino,21949,0,774,55,8,64,1570,0
Presidente Kubitschek,1647,0,147,13,0,12,500,0
Presidente Olegário,133476,0,3141,7830,110,260,24000,0
Alto Jequitibá,2236,0,67,58,46,0,1410,0
Prudente de Morais,6655,0,288,15,0,47,400,0
Quartel Geral,28422,28,780,85,15,106,3100,0
Queluzito,9381,0,560,48,29,0,2250,0
Raposos,90,0,41,4,31,0,220,0
Raul Soares,47274,32,1513,1522,220,256,13000,0
Recreio,16320,0,420,27,110,0,1180,0
Reduto,3111,0,177,13,13,68,500,0
Resende Costa,23575,0,1488,180,16,115,5900,0
Resplendor,59572,7,1632,179,232,424,8200,0
Ressaquinha,8494,5,171,60,11,24,1300,0
Riachinho,57522,57,2804,662,465,108,8100,0
Riacho dos Machados,13390,0,1083,475,73,79,5900,0
Ribeirão das Neves,2166,71,406,58,42,153,2100,0
Ribeirão Vermelho,3313,0,137,11,0,800,550,0
Rio Acima,627,2,273,26,47,60,1550,0
Rio Casca,22583,94,906,3417,73,630,3600,0
Rio Doce,5599,0,138,24,6,0,3200,0
Rio do Prado,18222,130,1187,167,30,122,1150,0
Rio Espera,13841,12,817,220,88,10,14500,0
Rio Manso,10807,64,341,156,0,39,2500,0
Rio Novo,16497,0,535,26,248,123,1150,0
Rio Paranaíba,74325,307,1121,609,19,92,22000,0
Rio Pardo de Minas,18885,0,897,617,28,149,33000,0
Rio Piracicaba,12333,76,943,675,21,83,3500,0
Rio Pomba,16445,0,310,465,96,19,7750,0
Rio Preto,12239,30,440,59,229,35,1150,0
Rio Vermelho,33354,245,1215,432,47,137,13200,0
Ritápolis,13951,0,782,64,19,32,2000,0
Rochedo de Minas,4697,0,320,3,0,9,250,0
Rodeiro,5138,0,303,8,0,56,280,0
Romaria,8976,0,174,92,68,26,900,0
Rosário da Limeira,4729,0,116,70,9,0,1309,0
Rubelita,18766,15,1970,645,75,713,9600,0
Rubim,44752,0,2875,241,106,240,4200,0
Sabará,2036,15,312,289,100,37,2460,0
Sabinópolis,37407,106,1461,316,104,75,14250,0
Sacramento,110008,79,2242,617,67,249,12000,0
Salinas,44419,0,3664,1137,202,289,36500,500
Salto da Divisa,58782,392,2138,507,436,325,700,0
Santa Bárbara,4698,0,425,44,9,18,2500,0
Santa Bárbara do Leste,1399,21,102,73,35,37,2400,100
Santa Bárbara do Monte Verde,16670,151,523,61,35,59,2000,0
Santa Bárbara do Tugúrio,13677,53,505,80,51,12,2500,0
Santa Cruz de Minas,28,0,30,0,0,0,10,0
Santa Cruz de Salinas,11425,0,832,273,67,11,7325,0
Santa Cruz do Escalvado,15497,74,611,2813,103,122,2900,0
Santa Efigênia de Minas,5383,101,214,65,13,49,950,0
Santa Fé de Minas,37991,22,1470,300,49,899,5270,0
Santa Helena de Minas,14726,12,586,74,0,83,4250,0
Santa Juliana,29150,0,324,5365,15,123,3000,0
Santa Luzia,5108,0,540,46,63,28,1800,0
Santa Margarida,3419,0,386,278,546,32,7550,0
Santa Maria de Itabira,15675,480,1798,183,66,77,25250,0
Santa Maria do Salto,14969,0,1032,377,21,238,1900,0
Santa Maria do Suaçuí,30398,0,1053,249,20,115,5500,0
Santana da Vargem,2968,13,305,97,0,67,3100,0
Santana de Cataguases,11343,0,185,27,105,0,500,0
Santana de Pirapama,25649,9,1562,574,81,109,16000,0
Santana do Deserto,7505,63,555,51,0,122,600,0
Santana do Garambéu,5920,0,323,110,0,15,1350,0
Santana do Jacaré,7922,308,194,39,0,0,67000,0
Santana do Manhuaçu,11930,24,142,412,50,22,3100,0
Santana do Paraíso,5232,23,670,69,88,38,1350,0
Santana do Riacho,4460,103,456,100,23,9,3000,0
Santana dos Montes,6935,19,335,64,0,30,3100,0
Santa Rita de Caldas,38089,30,688,230,98,0,7000,0
Santa Rita de Jacutinga,22872,144,566,117,0,39,2800,0
Santa Rita de Minas,1490,0,66,34,78,49,1450,0
Santa Rita de Ibitipoca,14173,0,406,163,0,20,2300,0
Santa Rita do Itueto,15199,0,224,86,0,34,1600,0
Santa Rita do Sapucaí,24597,9,804,206,139,22,5650,0
Santa Rosa da Serra,11339,0,336,94,0,93,2350,0
Santa Vitória,273000,725,4900,2010,125,3600,7200,0
Santo Antônio do Amparo,16066,0,520,90,482,1863,2500,0
Santo Antônio do Aventureiro,13982,15,228,665,266,0,1050,0
Santo Antônio do Grama,8112,0,169,1718,0,21,2700,0
Santo Antônio do Itambé,9473,0,197,51,0,0,2350,0
Santo Antônio do Jacinto,28422,26,2108,524,11,336,8700,0
Santo Antônio do Monte,86771,839,1906,434,29,85,3640500,700
Santo Antônio do Retiro,4205,0,141,265,12,0,7700,0
Santo Antônio do Rio Abaixo,6337,254,330,64,16,7,1425,0
Santo Hipólito,22179,0,740,72,20,126,2300,0
Santos Dumont,27922,16,637,82,202,72,3000,0
São Bento Abade,1743,0,67,17,0,0,300,0
São Brás do Suaçuí,3462,0,147,16,0,0,1100,0
São Domingos das Dores,419,0,59,99,51,100,3300,0
São Domingos do Prata,29071,217,1596,70,118,87,6500,1000
São Félix de Minas,9303,0,455,102,58,16,1200,0
São Francisco,147608,491,6575,2239,692,847,55500,0
São Francisco de Paula,16449,10,534,92,0,2,3000,0
São Francisco de Sales,92480,42,892,232,71,386,3300,0
São Francisco do Glória,10137,0,267,123,27,0,2400,0
São Geraldo,9173,0,376,23,61,49,850,0
São Geraldo da Piedade,9311,0,256,105,22,24,1850,0
São Geraldo do Baixio,15324,0,589,95,99,155,1650,0
São Gonçalo do Abaeté,43446,36,1216,961,23,176,6200,0
São Gonçalo do Pará,15920,31,444,1176,11,64,74200,0
São Gonçalo do Rio Abaixo,11755,82,1394,87,215,125,4150,1800
São Gonçalo do Sapucaí,28920,0,1188,205,80,821,3900,0
São Gotardo,58813,141,1460,330,201,92,15500,0
São João Batista do Glória,23414,374,875,767,0,194,5600,0
São João da Lagoa,24873,10,1350,400,124,195,9000,68
São João da Mata,7823,3,202,95,5,5,2750,0
São João da Ponte,114925,0,3906,1772,322,22795,25300,0
São João das Missões,13507,0,1975,999,218,69,18650,0
São João del Rei,40499,22,1012,337,84,254,7300,0
São João do Manhuaçu,1397,0,80,223,157,0,3550,0
São João do Manteninha,10817,0,407,84,82,25,1550,0
São João do Oriente,9973,0,627,107,36,105,2875,0
São João do Pacuí,17679,0,1120,277,35,108,4900,0
São João do Paraíso,13865,0,550,733,211,305,22150,0
São João Evangelista,25150,366,672,182,45,120,6000,0
São João Nepomuceno,27011,10,757,49,151,157,4400,0
São Joaquim de Bicas,1471,6,224,56,31,63,800,0
São José da Barra,11844,106,295,5362,50,0,5000,0
São José da Lapa,1029,28,187,37,0,45,180,0
São José da Safira,7060,0,371,23,0,0,550,0
São José da Varginha,19458,1219,594,4041,0,0,2100,0
São José do Alegre,7601,48,250,76,0,35,1850,0
São José do Divino,21182,0,1053,132,75,132,1800,0
São José do Goiabal,12079,0,783,28,7,28,2500,0
São José do Jacuri,16258,175,556,249,14,17,2900,0
São José do Mantimento,2549,0,76,91,0,23,1275,0
São Lourenço,2206,0,293,15,37,17,615,0
São Miguel do Anta,6665,0,216,215,410,57,5500,0
São Pedro da União,13621,88,436,289,33,58,6100,0
São Pedro dos Ferros,18328,72,629,90,57,62,2550,0
São Pedro do Suaçuí,14892,18,475,156,34,6,2500,0
São Romão,33825,0,1477,595,98,392,11000,0
São Roque de Minas,61642,109,1007,270,57,65,13150,0
São Sebastião da Bela Vista,9413,75,459,57,28,142,1800,0
São Sebastião da Vargem Alegre,5945,0,185,46,18,0,750,0
São Sebastião do Anta,2025,0,28,157,0,2,3300,0
São Sebastião do Maranhão,23456,0,481,363,68,50,3700,0
São Sebastião do Oeste,28858,122,995,2225,0,29,8300,0
São Sebastião do Paraíso,34573,141,1138,296,155,222,66800,0
São Sebastião do Rio Preto,5399,457,513,64,16,0,1850,0
São Sebastião do Rio Verde,6704,0,324,220,39,98,2100,0
São Tiago,28389,721,848,273,0,67,21800,0
São Tomás de Aquino,7628,23,245,80,0,30,1550,0
São Tomé das Letras,14410,0,193,61,15,16,2400,0
São Vicente de Minas,16955,33,1041,300,30,95,2700,0
Sapucaí-Mirim,5391,37,604,89,0,189,700,0
Sardoá,4519,0,246,75,0,0,2150,0
Sarzedo,827,0,211,9,0,0,230,0
Setubinha,6714,0,680,378,116,121,11750,0
Sem-Peixe,11084,58,713,47,42,4,2350,0
Senador Amaral,4533,5,124,35,62,23,1500,0
Senador Cortes,6476,0,90,11,11,0,820,0
Senador Firmino,5925,0,229,63,0,0,900,0
Senador José Bento,7632,0,165,35,0,0,1400,0
Senador Modestino Gonçalves,8682,0,745,194,10,18,11700,0
Senhora de Oliveira,4820,0,176,107,0,37,3150,0
Senhora do Porto,16023,76,548,84,16,30,3000,0
Senhora dos Remédios,18374,0,487,388,104,39,6500,0
Sericita,5009,0,175,72,27,12,3100,0
Seritinga,6199,3,103,60,0,3,740,0
Serra Azul de Minas,9099,0,154,40,0,0,2150,0
Serra da Saudade,18446,133,580,159,0,0,1050,0
Serra dos Aimorés,17892,7,665,37,44,202,700,0
Serra do Salitre,56562,13,569,1182,0,40,3150,0
Serrania,9855,393,213,86,0,46,1300,0
Serranópolis de Minas,11008,0,617,368,193,223,31350,0
Serranos,10587,69,261,50,0,0,1450,0
Serro,31043,0,1032,249,22,56,12750,0
Sete Lagoas,18259,105,1420,1304,3,232,4000,0
Silveirânia,9143,0,531,36,20,120,400,0
Silvianópolis,27105,28,1023,195,194,225,3750,0
Simão Pereira,6521,85,350,28,66,73,550,0
Simonésia,7352,0,169,368,173,38,8700,0
Sobrália,16705,0,642,125,157,97,2750,0
Soledade de Minas,14872,183,694,71,84,1044,1550,0
Tabuleiro,12226,74,156,55,84,136,2500,0
Taiobeiras,15652,38,674,621,58,0,13900,7100
Taparuba,13057,0,332,87,39,18,2800,0
Tapira,42581,597,1055,348,104,64,6350,0
Tapiraí,19616,2477,670,178,0,45,2750,0
Taquaraçu de Minas,8335,11,525,31,63,40,3500,0
Tarumirim,43177,0,1339,324,137,251,8000,0
Teixeiras,8112,0,620,4757,88,41,4000,0
Teófilo Otoni,140631,139,4810,360,128,779,13250,0
Timóteo,1097,0,166,12,0,23,600,0
Tiradentes,2850,0,233,34,0,8,1850,0
Tiros,106210,255,1615,402,13,139,13250,0
Tocantins,11001,14,492,106,618,204,10650,0
Tocos do Moji,9943,0,195,78,23,18,2550,0
Toledo,7190,17,114,70,29,64,900,0
Tombos,20249,0,329,619,0,66,2600,0
Três Corações,38850,40,1515,307,101,174,7500,0
Três Marias,23708,0,1105,123,43,38,5600,0
Três Pontas,19675,213,1319,171,96,80,7500,0
Tumiritinga,23282,0,1205,147,139,89,3250,0
Tupaciguara,104347,127,2263,5990,84,2808,15650,0
Turmalina,3850,0,803,453,130,29,13200,0
Turvolândia,14551,6,187,182,0,34,2950,0
Ubá,17863,0,858,43,58,189,1300,0
Ubaí,29950,0,2566,540,80,306,14100,0
Ubaporanga,4847,0,380,177,185,60,5000,0
Uberaba,160230,614,6183,997,418,2228,181400,3500
Uberlândia,183179,104,5696,41308,2181,2591,967550,2500
Umburatiba,25746,28,1295,74,62,187,700,0
Unaí,270609,252,5964,1744,255,1230,57450,2500
União de Minas,108486,492,1238,271,136,1193,4300,0
Uruana de Minas,14770,0,1038,424,32,0,9000,0
Urucânia,4782,0,141,18244,40,0,3850,0
Urucuia,41266,9,3058,973,315,246,16700,0
Vargem Alegre,7369,65,380,57,230,47,2700,0
Vargem Bonita,14296,88,283,66,0,144,2900,0
Vargem Grande do Rio Pardo,3545,0,167,99,0,0,4700,0
Varginha,15041,224,966,88,6,74,2700,0
Varjão de Minas,32367,0,853,6164,0,36,5500,0
Várzea da Palma,82486,0,1736,496,28,525,9700,0
Varzelândia,23327,0,1220,593,164,77,11500,0
Vazante,84885,0,1502,1001,81,0,12700,0
Verdelândia,47762,94,2188,435,73,577,5000,0
Veredinha,3133,0,591,526,73,0,5900,0
Veríssimo,48801,253,1298,1432,150,438,14150,0
Vermelho Novo,3872,0,136,119,89,29,4600,0
Vespasiano,908,0,115,10,0,0,480,0
Viçosa,10917,13,870,292,363,317,48170,2675
Vieiras,13654,0,248,62,0,62,1768,0
Mathias Lobato,13370,70,489,12,0,77,650,0
Virgem da Lapa,16761,0,1160,319,121,19,11650,0
Virgínia,24625,18,951,213,66,108,8500,11450
Virginópolis,17145,801,410,106,31,80,3700,0
Virgolândia,14446,15,584,153,25,68,8500,0
Visconde do Rio Branco,19436,11,717,107,97,38,3300,0
Volta Grande,15540,0,300,21,0,1,600,0
Wenceslau Braz,7143,0,183,46,28,22,1100,0
