municipios,Bovino,Bubalino,Equino,Suíno - matrizes de suínos,Caprino,Ovino,Galináceos - galinhas,Codornas
Campo do Meio,4248,0,318,234,29,29,8050,0
Campo Florido,52775,47,1194,2115,91,983,3850,0
Campos Altos,20161,724,634,106,0,0,2300,0
Campos Gerais,21583,33,1274,852,32,490,21000,0
Canaã,6473,0,216,97,423,169,3200,0
Canápolis,25100,0,600,115,0,115,2820,0
Cana Verde,19163,0,492,22,45,66,1200,0
Candeias,39854,341,619,98,16,118,6100,0
Cantagalo,7581,364,135,39,39,0,1500,0
Caparaó,1533,0,78,68,21,0,1650,0
Capela Nova,4666,22,298,101,21,0,2600,0
Capelinha,16718,0,1050,717,215,203,25000,0
Capetinga,10887,6,348,49,47,27,2300,0
Capim Branco,6147,0,601,41,14,25,300,0
Capinópolis,36500,0,605,1130,105,650,3750,0
Capitão Andrade,17608,0,460,114,173,25,2100,0
Capitão Enéas,46100,0,2112,329,371,598,50750,0
Capitólio,19887,350,568,124,22,107,8000,0
Caputira,5768,0,244,177,28,0,4075,0
Caraí,22768,0,953,342,0,308,13500,0
Caranaíba,7043,60,257,53,0,0,3100,0
Carandaí,16026,0,578,833,0,528,1750,0
Carangola,17400,82,719,204,76,147,3500,0
Caratinga,42164,18,1392,387,420,1835,10000,0
Carbonita,4548,0,471,157,48,0,6500,0
Careaçu,16007,34,435,122,31,145,2550,0
Carlos Chagas,225330,349,9814,276,796,2654,5500,0
Carmésia,5213,68,202,46,0,0,1300,0
Carmo da Cachoeira,11870,11,559,55,0,0,1450,0
Carmo da Mata,26422,506,1604,90,18,219,4000,0
Carmo de Minas,20514,0,1545,79,19,106,1500,0
Carmo do Cajuru,33360,597,1034,465,0,0,385000,0
Carmo do Paranaíba,132165,124,1875,2954,0,66,32100,0
Carmo do Rio Claro,38410,60,1358,1454,117,673,15000,0
Carmópolis de Minas,30565,90,1391,154,0,323,9000,0
Carneirinho,187514,158,2834,322,76,2584,7000,0
Carrancas,19559,0,926,113,0,0,3700,0
Carvalhópolis,3691,6,135,71,0,10,3000,0
Carvalhos,15439,33,530,172,15,65,2350,0
Casa Grande,9629,0,150,57,18,0,1350,0
Cascalho Rico,29539,0,340,793,0,5,1800,0
Cássia,44236,624,806,108,107,143,5000,0
Conceição da Barra de Minas,13577,26,314,85,0,8,2000,0
Cataguases,25837,6,532,1940,5,71,2500,0
Catas Altas,1797,0,151,21,8,22,1250,0
Catas Altas da Noruega,2799,0,258,883,20,13,3500,0
Catuji,10749,5,471,137,0,312,2500,0
Catuti,10892,0,479,164,33,20,2800,0
Caxambu,5019,0,1510,13,12,20,740,0
Cedro do Abaeté,10264,10,357,57,0,0,700,0
Central de Minas,11475,0,554,106,0,27,800,0
Centralina,19900,5,150,45,0,262,800,0
Chácara,8288,14,506,34,41,205,1500,0
Chalé,11183,5,281,111,0,78,5600,0
Chapada do Norte,7795,0,1432,449,120,0,14000,0
Chapada Gaúcha,24950,0,879,359,123,762,16000,0
Chiador,13186,0,315,16,0,25,350,0
Cipotânea,5838,0,78,104,0,0,2300,0
Claraval,9024,97,601,193,57,21,5000,0
Claro dos Poções,24700,0,1590,200,0,41,8000,0
Cláudio,43699,455,1344,1479,0,647,514500,250
Coimbra,6293,0,337,3926,17,428,2400,0
Coluna,17256,0,307,228,19,24,5500,0
Comendador Gomes,70901,6,1105,162,95,955,109700,0
Comercinho,15878,0,801,362,30,11,8500,0
Conceição da Aparecida,15298,139,772,195,16,84,8000,0
Conceição das Pedras,5730,34,154,49,26,163,800,0
Conceição das Alagoas,36562,54,525,274,78,116,11250,0
Conceição de Ipanema,17885,0,434,237,58,81,5800,0
Conceição do Mato Dentro,31619,527,2053,312,32,224,15000,0
Conceição do Pará,14845,42,385,2963,21,76,5250,0
Conceição do Rio Verde,18099,4,849,11,0,77,900,0
Conceição dos Ouros,11739,0,356,132,58,26,2600,0
Cônego Marinho,9591,0,450,287,170,307,10600,0
Confins,776,0,497,0,15,14,90,0
Congonhal,15468,76,471,134,13,0,4500,0
Congonhas,3252,0,737,86,76,0,2000,0
Congonhas do Norte,5783,0,470,47,6,2,2600,0
Conquista,20129,0,427,80,13,269,2200,0
Conselheiro Lafaiete,14710,0,1308,880,32,75,2700,0
Conselheiro Pena,62192,0,2294,232,261,191,9100,0
Consolação,7888,0,207,30,0,47,1525,0
Contagem,1295,0,697,51,139,1,800,0
Coqueiral,10061,0,695,181,0,148,6600,0
Coração de Jesus,60233,61,4212,1128,153,414,33000,30
Cordisburgo,28378,320,1048,202,15,44,8600,0
Cordislândia,8585,46,377,43,8,135,1520,0
Corinto,55716,0,1164,999,196,221,5800,0
Coroaci,15971,0,610,74,0,37,2150,0
Coromandel,112188,160,2802,3528,111,457,23500,0
Coronel Fabriciano,1014,0,126,8,34,71,850,0
Coronel Murta,16697,0,844,370,155,55,8300,0
Coronel Pacheco,9522,3,349,30,465,171,1600,0
Coronel Xavier Chaves,6445,0,297,164,31,275,1500,0
Córrego Danta,28381,2077,1549,451,0,65,7500,0
Córrego do Bom Jesus,7055,0,375,32,0,50,480,0
Córrego Fundo,6091,60,227,69,0,79,6000,0
Córrego Novo,10261,1149,199,56,43,67,2100,0
Couto de Magalhães de Minas,2076,0,166,26,11,60,1200,0
Crisólita,56108,292,2761,176,87,491,1900,0
Cristais,27508,13,622,313,0,0,5300,0
Cristália,5553,0,436,172,28,54,7000,0
Cristiano Otoni,9484,0,278,94,0,0,2750,0
Cristina,23858,10,634,109,26,12,3000,0
Crucilândia,10200,38,382,66,95,39,4150,0
Cruzeiro da Fortaleza,24869,0,389,95,0,56,1800,0
Cruzília,21805,0,3131,135,74,6,3500,0
Cuparaque,15736,0,481,84,19,77,1350,0
Curral de Dentro,8591,0,357,140,60,208,2500,0
Curvelo,94375,203,2995,2077,69,250,14000,0
