municipios,Abacate,Café (em grão) Total,Maçã,Pêssego,Uva,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado)
Pedra Bonita,0,3820,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Pedra do Anta,0,237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pedra do Indaiá,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
Pedra Dourada,0,1740,0,0,0,42,0,0,0,706,0,24,0,0,0,0,0,0,0,4937
Pedralva,2,2440,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,5
Pedras de Maria da Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Pedrinópolis,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Leopoldo,165,0,0,0,0,1,2,3,5,1,0,11,0,1,5,0,0,3,0,7
Pedro Teixeira,0,0,0,0,0,0,0,0,0,0,0,44,0,0,17,0,0,0,0,0
Pequeri,0,0,0,0,0,23,1,2,0,0,0,219,0,0,3,1,0,0,1,474
Pequi,0,0,0,0,0,114,0,0,3,0,0,49,0,0,15,0,0,0,4,4
Perdigão,0,0,0,0,0,362,0,0,306,89,0,0,0,0,0,0,0,0,0,548
Perdizes,32,13000,0,0,0,0,0,0,2,0,0,18,0,0,2,0,0,0,0,242
Perdões,0,3735,0,0,0,30,0,0,0,55,0,12,0,0,1,0,0,0,0,710
Periquito,0,2,0,0,0,0,0,0,0,42,0,2,0,0,0,0,0,0,0,0
Pescador,0,0,0,0,0,0,3,0,4,5,0,39,448,0,2,0,0,3,0,143
Piau,0,0,0,0,0,67,33,0,56,20,13,175,0,0,43,10,0,8,20,194
Piedade de Caratinga,94,2974,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Piedade de Ponte Nova,0,0,0,0,0,14,7,3,19,8,4,40,0,1,2,0,0,8,0,95
Piedade do Rio Grande,4,0,1200,480,0,40,2,1,42,23,0,51,0,0,32,7,0,3,2,11
